"file","line","category","snippet","first_class_name_60"
"src/app/components/lawyer/execution/evictionField/hooks/useEvictionFieldBranchRenderers.tsx","97","section","return <div className='mt-2 rounded-2xl border border-white/10 bg-black/15 p-3'>{panel}</div>;","mt-2 rounded-2xl border border-white/10 bg-black/15 p-3"
"src/app/components/lawyer/execution/personalCoercive/sections/ForcedBringSection.tsx","121","section","<div className='relative space-y-2' data-testid='forced-bring-section'>","relative space-y-2"
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionCreationFormBody.tsx","247","header","<div className={ecg.modalHeader}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionCreationFormBody.tsx","257","section","<div className={ecg.modalBody}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionCreationFormBody.tsx","258","section","<div className={ecg.modalBodyStack}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionCreationSection.tsx","18","header","<div className={ecg.sectionHeader}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionIntakeModals.tsx","65","section","<div className={ecg.modalPanel} onClick={(e) => e.stopPropagation()}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionIntakeModals.tsx","150","section","<div className={ecg.modalBackdrop} onClick={onAbsenteeModalClose}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionIntakeModals.tsx","151","section","<div className={ecg.modalPanelDanger} onClick={(e) => e.stopPropagation()}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionOptionSheet.tsx","38","header","<div className={ecg.sheetSectionHeader}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionOptionSheet.tsx","128","header","<div className={ecg.sheetHeader}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionOptionSheet.tsx","140","section","<div className={ecg.sheetBodyUnified}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionOptionSheet.tsx","141","section","<div className={ecg.sheetGroupedCard}>",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionOptionSheet.tsx","155","section","<div className={ecg.sheetSectionDivider} aria-hidden='true' />",""
"src/app/components/lawyer/ExecutionCreationView/components/ExecutionOptionSheet.tsx","213","footer","<div className={ecg.sheetFooter}>",""
"src/app/components/lawyer/ExecutionCreationView/components/InstrumentClaimAmountsBlock.tsx","129","section","<div key={ct} className={`${claimSectionCardClass} space-y-4`}>",""
"src/app/components/lawyer/ExecutionCreationView/components/InstrumentClaimAmountsBlock.tsx","130","header","<div className={ecg.cardHeader}>",""
"src/app/components/lawyer/ExecutionCreationView/components/InstrumentClaimAmountsBlock.tsx","190","section","<div className={ecg.aggregatePanel}>",""
"src/app/components/lawyer/ExecutionCreationView/components/InstrumentClaimAmountsBlock.tsx","191","header","<div className={ecg.cardHeader}>",""
"src/app/components/lawyer/ExecutionCreationView/components/InstrumentClaimAmountsBlock.tsx","194","section","<div className='space-y-3'>{claimTypeInputSections}</div>","space-y-3"
"src/app/components/lawyer/ExecutionCreationView/components/PastAlimonySection.tsx","138","section","<div className={`${ecg.hintPanel} !mt-0 px-2.5 py-2`}>",""
"src/app/components/lawyer/ExecutionCreationView/components/PastAlimonySection.tsx","148","section","<div className={`${ecg.hintPanel} space-y-2`}>",""
"src/app/components/lawyer/ExecutionCreationView/components/SmartAlimonyCalculator.tsx","120","header","<div className={ecg.cardHeader}>",""
