file,line,col,category,message_snippet
src\app\components\ui\ErrorBoundary.tsx,57,9,console-prod-use,"console.error('[ErrorBoundary] Caught error:', error);"
src\app\components\ui\ErrorBoundary.tsx,58,9,console-prod-use,"console.error('[ErrorBoundary] Component stack:', errorInfo.componentStack);"
src\app\components\ui\ErrorBoundary.tsx,223,10,console-prod-use,"*       console.error('App Error:', error);"
src\app\context\authHooks.ts,44,9,throw-prefix-missing,"useAuth must be used within an AuthProvider"
src\app\context\authProviderRuntime.ts,750,21,console-prod-use,"console.warn('[auth] local logout purge incomplete:', result.failedStages.join(', '));"
src\app\context\authProviderRuntime.ts,866,9,throw-prefix-missing,"admin bypass disabled outside development"
src\app\context\authProviderRuntime.ts,869,9,throw-prefix-missing,"admin bypass requires development build"
src\app\context\lawyerSettings\lawyerSettingsDevFallback.ts,27,5,throw-prefix-missing,"${hookName} must be used within LawyerSettingsProvider"
src\app\context\lawyerSettings\lawyerSettingsHooks.ts,36,13,console-prod-use,"console.warn("
src\app\context\lawyerSettings\lawyerSettingsHooks.ts,42,5,throw-prefix-missing,"useLawyerSettings must be used within LawyerSettingsProvider"
src\app\context\lawyerSettings\lawyerSettingsHooks.ts,121,5,throw-prefix-missing,"useLawyerSettingsActions must be used within LawyerSettingsProvider"
src\app\data\DocsVault.ts,40,13,console-prod-use,"console.error(""Failed to load docs vault"", e);"
src\app\data\DocsVault.ts,48,13,console-prod-use,"console.error(""Failed to save docs vault"", e);"
src\app\data\NotesVault.ts,78,13,console-prod-use,"console.error(""Failed to load notes vault"", e);"
src\app\data\NotesVault.ts,86,13,console-prod-use,"console.error(""Failed to save notes vault"", e);"
src\app\domain\lawsuit\lawsuitSegmentPersist.ts,34,5,console-prod-use,"console.warn("
src\app\domain\lawsuit\litigationDecisionEngine.ts,333,15,throw-prefix-missing,"missing party ${id}"
src\app\hooks\lawsuitCommitWarn.ts,66,17,console-prod-use,"console.info("
src\app\hooks\lawyerDashboard\lawyerDashboardWorkspaceContext.ts,33,9,throw-prefix-missing,"useLawyerDashboardWorkspace must be used within LawyerDashboardWorkspaceProvider"
src\app\hooks\useLawsuitFilesState.ts,339,29,console-prod-use,"console.warn("
src\app\hooks\useQuantumTasksContext.ts,20,9,throw-prefix-missing,"useQuantumTasksContext must be used within QuantumTasksProvider"
src\app\hooks\useQuantumTasksContext.ts,28,9,throw-prefix-missing,"useQuantumTasksData must be used within QuantumTasksProvider"
src\app\hooks\useQuantumTasksContext.ts,36,9,throw-prefix-missing,"useQuantumTasksActions must be used within QuantumTasksProvider"
src\app\infrastructure\persistence\LocalStorageRepository.ts,135,13,console-prod-use,"console.error(""❌ [LocalStorageRepository] Failed to save data:"", error);"
src\app\infrastructure\persistence\LocalStorageRepository.ts,178,13,console-prod-use,"console.error(""❌ [LocalStorageRepository] Failed to load data:"", error);"
src\app\infrastructure\persistence\LocalStorageRepository.ts,195,13,console-prod-use,"console.error('❌ [LocalStorageRepository] Failed to loadAsync:', error);"
src\app\infrastructure\persistence\LocalStorageRepository.ts,213,13,console-prod-use,"console.error(""❌ [LocalStorageRepository] Failed to remove data:"", error);"
