file,line,has_type,type_value,has_onClick,inside_form_context,class_final,downgrade_reason_or_note,raw_snippet_240chars
"src/app/components/admin/AdminLawEntry.tsx",583,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => setBrowseVisibleCount( (v) => v + BROWSE_TABLE_PAGE_SIZE, ) } className=""rounded-lg border border-[#E6C673]/30 px-4 py-2 text-xs font-bold text-[#E6C673] hover:bg-[#E6C673]/10"" >"
"src/app/components/admin/AdminLawEntry.tsx",618,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => bulkJsonFileInputRef.current?.click()} disabled={singleLoading || bulkLoading} className=""rounded-lg border border-[#E6C673]/30 px-3 py-1.5 text-xs font-bold text-[#E6C673] hover:bg-[#E6C673]/10 disab"
"src/app/components/admin/AdminLawEntry.tsx",713,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={activeTab === ""single"" ? handleSubmit : handleBulkSubmit} disabled={singleLoading || bulkLoading || clearLoading} className={cn( ""w-full rounded-xl py-3.5 text-sm font-bold transition-[opacity,transform,b"
"src/app/components/admin/AdminLawEntry.tsx",760,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={handleClearDatabase} disabled={singleLoading || bulkLoading || clearLoading} className={cn( ""w-full rounded-xl py-3 text-sm font-bold transition-[opacity,transform] active:scale-[0.99]"", ""border border-re"
"src/app/components/admin/AdminLawyerVerificationRequests.tsx",151,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""hq-ops-pill hq-ops-pill-warn"" onClick={() => setStatusFilter('pending')} >"
"src/app/components/admin/HeadquartersPanel.tsx",294,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""hq-ops-pill hq-ops-pill-warn"" onClick={() => setStatusFilter('pending')} >"
"src/app/components/admin/HeadquartersPanel.tsx",303,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""hq-ops-pill"" onClick={() => setStatusFilter('unsubmitted')} >"
"src/app/components/admin/HeadquartersPanel.tsx",312,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""hq-ops-pill hq-ops-pill-warn"" onClick={() => setStatusFilter('name_mismatch')} >"
"src/app/components/admin/HeadquartersUserDossier.tsx",332,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""mt-2 inline-flex min-h-11 items-center gap-2 rounded-lg border border-white/10 bg-white/5 px-3 text-xs text-white/70"" onClick={() => void copyUserId()} >"
"src/app/components/admin/HeadquartersUserDossier.tsx",352,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""min-h-11 rounded-lg border border-white/15 px-3 text-sm text-white/80"" onClick={onClose} data-testid=""hq-user-dossier-close"" >"
